BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	host_age_s	isolate_s	serotype_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	collected_by_s	collection_date_s	g1k_analysis_group_s	g1k_pop_code_s	geo_loc_name_s	host_s	host_disease_s	isolation_source_s	lat_lon_s	source_s
SAMN03764930	SRX1067334	2013210938	2015-06-22	648	387	2016-03-17	SRR2072210	SRS967225	2013210938	1	7	3	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765045	SRX1067468	2014202195	2015-06-22	763	391	2016-03-18	SRR2072344	SRS967226	2014202195	3	122	22F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765065	SRX1067499	2014204528	2015-06-22	156	74	2016-03-18	SRR2072375	SRS967227	2014204528	1	142	33F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765016	SRX1067511	2014206986	2015-06-22	309	149	2016-03-18	SRR2072387	SRS967228	2014206986	4	93	17F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765058	SRX1067510	2014205714	2015-06-22	364	181	2016-03-18	SRR2072386	SRS967229	2014205714	0	135	23B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765010	SRX1067509	2014205695	2015-06-22	264	133	2016-03-18	SRR2072385	SRS967230	2014205695	2	87	15C	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764936	SRX1067508	2014205022	2015-06-22	347	166	2016-03-18	SRR2072384	SRS967231	2014205022	0	13	8	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765064	SRX1067507	2014205018	2015-06-22	178	88	2016-03-18	SRR2072383	SRS967232	2014205018	0	141	28A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764981	SRX1067506	2014204584	2015-06-22	218	105	2016-03-18	SRR2072382	SRS967233	2014204584	0	58	12F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765051	SRX1067505	2014204553	2015-06-22	322	151	2016-03-18	SRR2072381	SRS967234	2014204553	1	128	22F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764943	SRX1067484	2014203075	2015-06-22	35	18	2016-03-18	SRR2072360	SRS967254	2014203075	1	20	21	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764972	SRX1067485	2014203083	2015-06-22	221	112	2016-03-18	SRR2072361	SRS967253	2014203083	4	49	11B/11C	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765004	SRX1067486	2014203084	2015-06-22	299	152	2016-03-18	SRR2072362	SRS967252	2014203084	0	81	15C	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764925	SRX1067487	2014203093	2015-06-22	222	112	2016-03-18	SRR2072363	SRS967251	2014203093	4	2	3	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764991	SRX1067488	2014203816	2015-06-22	308	150	2016-03-18	SRR2072364	SRS967250	2014203816	0	68	15B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765087	SRX1067489	2014203834	2015-06-22	330	162	2016-03-18	SRR2072365	SRS967249	2014203834	0	164	33F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765037	SRX1067490	2014203844	2015-06-22	322	154	2016-03-18	SRR2072366	SRS967248	2014203844	1	114	22F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764954	SRX1067491	2014203848	2015-06-22	250	128	2016-03-18	SRR2072367	SRS967247	2014203848	1	31	38	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765057	SRX1067492	2014203857	2015-06-22	381	184	2016-03-18	SRR2072368	SRS967246	2014203857	1	134	23A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765030	SRX1067493	2014203865	2015-06-22	366	178	2016-03-18	SRR2072369	SRS967245	2014203865	4	107	19A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765028	SRX1067494	2014203868	2015-06-22	279	135	2016-03-18	SRR2072370	SRS967244	2014203868	4	105	19A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764998	SRX1067495	2014203994	2015-06-22	262	130	2016-03-18	SRR2072371	SRS967243	2014203994	1	75	15BC	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764958	SRX1067496	2014204010	2015-06-22	280	137	2016-03-18	SRR2072372	SRS967242	2014204010	1	35	38	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765012	SRX1067497	2014204514	2015-06-22	198	93	2016-03-18	SRR2072373	SRS967241	2014204514	3	89	16F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764968	SRX1067498	2014204525	2015-06-22	114	54	2016-03-18	SRR2072374	SRS967240	2014204525	3	45	10A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765020	SRX1067500	2014204530	2015-06-22	300	142	2016-03-18	SRR2072376	SRS967239	2014204530	0	97	19A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765068	SRX1067501	2014204535	2015-06-22	114	55	2016-03-18	SRR2072377	SRS967238	2014204535	0	145	33F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764994	SRX1067502	2014204536	2015-06-22	370	178	2016-03-18	SRR2072378	SRS967237	2014204536	2	71	15BC	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765008	SRX1067503	2014204541	2015-06-22	201	97	2016-03-18	SRR2072379	SRS967236	2014204541	2	85	15C	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765014	SRX1067504	2014204552	2015-06-22	286	135	2016-03-18	SRR2072380	SRS967235	2014204552	0	91	16F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
